EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000121410	0	0	2	3	1.76163151841603	2.86303462849026
ENSG00000175899	0.000103031177234231	0	2	2	2.60265223029773	2.18447788450458
ENSG00000166535	0	1.57890581826794e-05	1	2	0.569317808069272	1.07878896776848
ENSG00000128274	3.43654421114128e-05	0	3	3	4.45813399439504	4.21410252042662
ENSG00000094914	0	0	4	4	5.41655134624373	5.96181023199278
ENSG00000081760	0.00011584651623782	0	2	2	1.97929695850917	2.63762407171527
ENSG00000204518	4.34971726837756e-05	0	1	1	0.0149174637770563	0
ENSG00000109576	6.35424940428912e-05	0	2	3	2.44750267881464	2.86681017461
ENSG00000103591	0	0	3	4	4.46494636916682	4.96674461057082
ENSG00000115977	2.77475894281684e-05	1.84983929521123e-05	3	3	3.94727618784618	3.53079415356663
ENSG00000087884	6.17182356813693e-05	1.02863726135616e-05	3	4	4.48038543726091	6.1204072187901
ENSG00000127837	0	0	4	4	6.49942980021409	6.66449771505931
ENSG00000129673	5.97550044816253e-05	0	1	1	0.214895155542727	0.316099919546331
ENSG00000131043	0	0	4	3	4.76597887175267	4.4283933665794
ENSG00000205002	0.000159235668789809	0	3	2	2.72064661444789	1.79069366141758
ENSG00000124608	6.85213101274496e-05	0	2	3	2.43165469664711	3.07115004844659
ENSG00000266967	0	0	3	3	3.7644894628184	3.17132653876115
ENSG00000157426	2.03355363497712e-05	2.03355363497712e-05	4	3	4.53682997091003	4.44385873699359
ENSG00000149313	8.62329151036951e-05	0	4	4	6.65751960062649	5.70721205668881
ENSG00000008311	1.25500432976494e-05	0	1	2	0.147601270895427	1.18502203443902
ENSG00000181409	0.000162103746397695	0	1	1	0.371884944212535	0.350078739803721
ENSG00000183044	1.82265560922264e-05	8.20195024150187e-05	2	2	1.03719692730591	1.06956300729026
ENSG00000165029	2.72147721783384e-05	2.04110791337538e-05	3	3	3.20912904575976	2.87953053606232
ENSG00000154263	2.05176605763411e-05	1.02588302881705e-05	1	1	0.32662571951353	0.530558157260912
ENSG00000144452	2.90072276342189e-05	2.41726896951824e-05	1	1	0.0939740770243664	0.058005195065659
ENSG00000179869	3.57465777908615e-05	6.30821961015203e-06	2	2	0.950401075890504	2.11834401759985
ENSG00000107331	4.66222201501235e-05	0	2	2	0.709155252389566	1.03540831985894
ENSG00000167972	0.000123388241100623	0	2	3	2.56838652939482	2.79556668456706
ENSG00000198691	7.01956899846349e-05	7.79952110940388e-06	1	1	0.103666237539317	0.494260277193892
ENSG00000154265	6.04288027845592e-05	1.20857605569118e-05	3	3	3.30760257870916	3.55317303654895
ENSG00000154262	3.18101569831247e-05	0	1	1	0.0937018410207905	0.390280694714308
ENSG00000064687	0	4.0319329086364e-05	1	2	0.53739168631305	1.02080843404535
ENSG00000141338	5.68227018058255e-05	2.27290807223302e-05	1	1	0.408918346667815	0.110239594479926
ENSG00000154258	2.31510956256005e-05	0	1	1	0.138603227968578	0.313992200418376
ENSG00000085563	3.81462814528011e-05	0	1	1	0.357284996788879	0.189499195705842
ENSG00000135776	9.5007363070638e-05	0	2	2	1.8882123634472	2.14961335623213
ENSG00000073734	2.595964141082e-05	1.73064276072133e-05	1	1	0	0
ENSG00000005471	0	0	1	1	0.181528360565898	0.570166216354882
ENSG00000004846	2.49084614043391e-05	1.86813460532543e-05	1	1	0.442868524548592	0.302810041642807
ENSG00000115657	0	0	1	1	0.514843162684976	0.684138955706281
ENSG00000197150	5.16849286747984e-05	0	4	4	4.65200338845311	4.59249589254333
ENSG00000150967	1.64804377204259e-05	0	2	2	2.31950878798135	1.482502945989
ENSG00000103222	4.64650427994672e-05	1.54883475998224e-05	3	3	3.11396663274732	3.03107728305422
ENSG00000124574	0	0	3	2	3.08978198288411	2.24934332565244
ENSG00000121270	3.67273484078694e-05	0	1	1	0.309933220087112	0.682504313082783
ENSG00000140798	1.3309376455713e-05	0	3	2	2.68967353116978	2.20238647192945
ENSG00000023839	2.95866741619575e-05	0	2	2	1.52040251826524	1.36776694928857
ENSG00000108846	0	0	1	1	0.151503229116974	0.114543343259407
ENSG00000125257	4.98692712674631e-05	1.42483632192752e-05	3	3	3.9875761699717	3.89646613905413
ENSG00000114770	5.11336326355297e-05	0	3	3	3.86043752833816	4.04270509136817
ENSG00000091262	5.47218080085366e-05	0	1	1	0.405871331478841	0.353835257686606
ENSG00000006071	2.37180399411793e-05	0	1	1	0.276778355711127	0.17488212892797
ENSG00000069431	5.5206680008281e-05	6.90083500103513e-06	1	1	0.367888713489011	0.296726467160093
ENSG00000173208	1.43340404793303e-05	0	1	1	0.277594992296171	0.0522692828430037
ENSG00000117528	1.99549019216571e-05	0	3	4	4.1217768001821	4.56824436547363
ENSG00000119688	5.62714534916437e-05	0	4	4	5.48972669069928	4.82945310752865
ENSG00000164163	0	0	4	4	7.31045590140749	6.60813405840214
ENSG00000204574	0	0	4	4	6.83017744932176	5.80273466643444
ENSG00000033050	0	0	1	1	0	0
ENSG00000161204	0.00012647021626407	0	4	4	5.19141568202678	5.21823660636962
ENSG00000160179	9.27395255858047e-05	2.06087834635121e-05	1	1	0.26303718929336	0.238935327701122
ENSG00000118777	3.55907350198596e-05	2.13544410119158e-05	2	1	0.678988550158923	0.803426303863465
ENSG00000172350	7.35618655289098e-05	0	2	2	0.830344659571521	1.1640391272172
ENSG00000138075	0	3.79103798620062e-05	1	1	0.059092905714989	0.23557938197505
ENSG00000143994	0	0	1	1	0.0229003215607406	0.561892757337229
ENSG00000144827	6.96718456071901e-05	0	4	4	5.56720123396484	6.23677933079287
ENSG00000106077	0	0	3	3	2.63747814435335	3.74534155741933
ENSG00000100997	3.13381385145722e-05	1.04460461715241e-05	4	4	5.66132109329759	5.52571383182409
ENSG00000131969	3.04432537749635e-05	3.04432537749635e-05	2	2	1.55508431742407	2.54951066488015
ENSG00000139826	0	0	3	3	3.1251650755512	2.976965537385
ENSG00000248487	0	0	2	2	2.35559395664115	2.30682035428838
ENSG00000114779	0	0	4	3	4.79696593065116	4.39226062662952
ENSG00000168792	0	0	1	1	0.120851626053787	0.460072474351387
ENSG00000204427	0.000122055413157574	0	4	4	5.43336367201444	5.75331185250903
ENSG00000129968	0	0	3	3	3.85716477001118	3.84221237174443
ENSG00000107362	2.05376763672958e-05	0	2	2	0.854144893459015	1.79072712224918
ENSG00000136379	7.91170536809209e-05	1.31861756134868e-05	2	2	1.35191043713854	2.56179576027043
